"name","n_hosts","table_size"
"sAT",100,10000
"sBE",100,10000
"sBG",100,10000
"sBY",100,10000
"sCH",100,10000
"sCY",100,10000
"sCZ",100,10000
"sDE1",100,10000
"sDE2",100,10000
"sDK",100,10000
"sEE",100,10000
"sES",100,10000
"sFI",100,10000
"sFR1",100,10000
"sFR2",100,10000
"sGR",100,10000
"sHR",100,10000
"sHU",100,10000
"sIE",100,10000
"sIL",100,10000
"sIS",100,10000
"sIT",100,10000
"sLT",100,10000
"sLU",100,10000
"sLV",100,10000
"sMD",100,10000
"sME",100,10000
"sMK",100,10000
"sMT",100,10000
"sNL",100,10000
"sNO",100,10000
"sPL",100,10000
"sPT",100,10000
"sRO",100,10000
"sRS",100,10000
"sSE",100,10000
"sSI",100,10000
"sSK",100,10000
"sTR",100,10000
"sUA",100,10000
"sUK",100,10000
